Emotion,Valence,Arousal,Dominance
Surprised,0.784,0.855,0.539
Excited,0.908,0.931,0.709
Angry,0.122,0.83,0.604
Proud,0.906,0.7,0.873
Sad,0.225,0.333,0.149
Annoyed,0.104,0.783,0.345
Grateful,0.958,0.353,0.56
Lonely,0.25,0.226,0.238
Afraid,0.01,0.775,0.245
Terrified,0.09,0.902,0.387
Guilty,0.135,0.77,0.352
Impressed,0.806,0.77,0.429
Disgusted,0.051,0.773,0.274
Hopeful,0.947,0.357,0.627
Confident,0.765,0.324,0.723
Furious,0.062,0.953,0.598
Anxious,0.281,0.875,0.434
Joyful,0.99,0.74,0.667
Nostalgic,0.458,0.351,0.184
Disappointed,0.071,0.472,0.241
Prepared,0.71,0.48,0.733
Jealous,0.173,0.855,0.345
Content,0.764,0.296,0.559
Devastated,0.12,0.544,0.264
Embarrassed,0.184,0.56,0.246
Caring,0.635,0.469,0.5
Sentimental,0.583,0.378,0.312
Trusting,0.857,0.508,0.75
Ashamed,0.156,0.588,0.228
Apprehensive,0.406,0.592,0.431
Faithful,0.888,0.333,0.627
